Date,Open,High,Low,Close,Adj Close,Volume
2017-06-08,10215.929688,10235.700195,10211.000000,10225.780273,10225.780273,1756200
2017-06-09,10238.549805,10268.370117,10198.799805,10199.650391,10199.650391,2205300
2017-06-12,10137.040039,10158.639648,10109.959961,10109.959961,10109.959961,1800300
2017-06-13,10109.700195,10146.669922,10109.700195,10128.150391,10128.150391,1635400
2017-06-14,10142.799805,10165.309570,10033.250000,10072.459961,10072.459961,2131200
2017-06-15,10079.139648,10089.070313,10046.799805,10088.349609,10088.349609,1647300
2017-06-16,10078.690430,10159.469727,10073.120117,10156.730469,10156.730469,2120200
2017-06-19,10162.219727,10250.599609,10162.219727,10250.599609,10250.599609,1878500
2017-06-20,10286.790039,10354.370117,10286.790039,10324.459961,10324.459961,1913800
2017-06-21,10310.969727,10379.820313,10274.750000,10349.719727,10349.719727,2399200
2017-06-22,10369.080078,10403.360352,10368.929688,10399.059570,10399.059570,2010500
2017-06-23,10403.559570,10422.330078,10374.009766,10377.700195,10377.700195,1952000
2017-06-26,10341.860352,10513.959961,10341.860352,10513.959961,10513.959961,2648600
2017-06-27,10513.000000,10545.700195,10489.099609,10512.059570,10512.059570,2660200
2017-06-28,10459.169922,10459.169922,10382.809570,10390.549805,10390.549805,3121300
2017-06-29,10442.179688,10476.509766,10390.900391,10421.650391,10421.650391,2867000
2017-06-30,10367.259766,10395.070313,10329.839844,10395.070313,10395.070313,2376900
2017-07-03,10368.990234,10412.790039,10363.500000,10412.790039,10412.790039,2157100
2017-07-04,10397.929688,10421.719727,10347.780273,10347.780273,10347.780273,2445100
2017-07-05,10352.389648,10404.790039,10304.740234,10404.790039,10404.790039,1994200
2017-07-06,10380.660156,10381.200195,10336.320313,10368.200195,10368.200195,1694000
2017-07-07,10343.299805,10343.299805,10294.690430,10297.250000,10297.250000,1754100
2017-07-10,10310.740234,10331.110352,10283.950195,10289.910156,10289.910156,1964700
2017-07-11,10313.080078,10415.570313,10313.080078,10415.570313,10415.570313,2039900
2017-07-12,10396.969727,10450.870117,10393.540039,10420.679688,10420.679688,2196800
2017-07-13,10418.740234,10485.280273,10418.740234,10460.150391,10460.150391,2645100
2017-07-14,10450.919922,10466.339844,10423.400391,10443.910156,10443.910156,2292900
2017-07-17,10467.269531,10490.049805,10436.309570,10457.540039,10457.540039,2183500
2017-07-18,10447.469727,10481.259766,10429.849609,10481.259766,10481.259766,2035100
2017-07-19,10472.809570,10537.419922,10472.809570,10506.099609,10506.099609,2351900
2017-07-20,10513.120117,10534.519531,10483.540039,10499.360352,10499.360352,2273600
2017-07-21,10468.469727,10477.719727,10428.559570,10436.700195,10436.700195,1904900
2017-07-24,10426.129883,10461.280273,10406.809570,10461.280273,10461.280273,1756400
2017-07-25,10455.139648,10473.980469,10442.849609,10463.150391,10463.150391,1959500
2017-07-26,10477.150391,10500.110352,10416.570313,10419.110352,10419.110352,2344100
2017-07-27,10427.830078,10516.230469,10427.830078,10508.370117,10508.370117,2487900
2017-07-28,10480.669922,10480.669922,10410.530273,10423.049805,10423.049805,1915800
2017-07-31,10396.759766,10427.330078,10366.169922,10427.330078,10427.330078,2036800
2017-08-01,10408.530273,10470.030273,10408.530273,10437.290039,10437.290039,2391000
2017-08-02,10479.259766,10519.269531,10479.259766,10519.269531,10519.269531,2351400
2017-08-03,10464.099609,10478.620117,10427.719727,10469.879883,10469.879883,2125000
2017-08-04,10470.959961,10510.700195,10466.250000,10506.559570,10506.559570,2439200
2017-08-07,10521.690430,10592.309570,10521.690430,10579.379883,10579.379883,2543100
2017-08-08,10598.589844,10619.419922,10533.719727,10568.969727,10568.969727,2898600
2017-08-09,10523.509766,10536.190430,10457.519531,10470.379883,10470.379883,2590000
2017-08-10,10470.030273,10477.790039,10303.469727,10329.740234,10329.740234,3032100
2017-08-11,10267.049805,10338.059570,10238.500000,10329.570313,10329.570313,2408500
2017-08-14,10347.660156,10365.219727,10225.280273,10225.280273,10225.280273,2531500
2017-08-15,10271.030273,10336.219727,10271.030273,10311.160156,10311.160156,2296200
2017-08-16,10302.830078,10322.379883,10245.719727,10290.389648,10290.389648,2510400
2017-08-17,10302.540039,10372.410156,10302.540039,10369.370117,10369.370117,2588000
2017-08-18,10324.830078,10330.389648,10259.830078,10321.330078,10321.330078,2316000
2017-08-21,10316.089844,10336.370117,10282.719727,10326.389648,10326.389648,2165200
2017-08-22,10353.370117,10410.469727,10353.370117,10392.070313,10392.070313,2482000
2017-08-23,10418.320313,10458.910156,10378.009766,10406.809570,10406.809570,2465700
2017-08-24,10414.660156,10488.959961,10410.730469,10488.959961,10488.959961,2716400
2017-08-25,10497.860352,10519.839844,10478.719727,10515.509766,10515.509766,2826800
2017-08-28,10502.799805,10542.370117,10498.879883,10525.980469,10525.980469,2738000
2017-08-29,10518.690430,10518.690430,10463.219727,10496.570313,10496.570313,2815800
2017-08-30,10511.589844,10574.530273,10511.589844,10569.400391,10569.400391,2765700
2017-08-31,10586.650391,10609.480469,10551.950195,10585.780273,10585.780273,2800700
2017-09-01,10576.269531,10619.519531,10568.719727,10594.820313,10594.820313,3121700
2017-09-04,10585.440430,10610.040039,10555.339844,10569.870117,10569.870117,2619800
2017-09-05,10584.099609,10617.839844,10564.259766,10617.839844,10617.839844,2761000
2017-09-06,10593.870117,10604.919922,10519.709961,10547.860352,10547.860352,2815600
2017-09-07,10564.790039,10604.019531,10509.910156,10538.509766,10538.509766,3227300
2017-09-08,10553.900391,10609.950195,10550.719727,10609.950195,10609.950195,2818200
2017-09-11,10630.160156,10656.250000,10565.780273,10572.160156,10572.160156,2977700
2017-09-12,10610.330078,10646.549805,10586.280273,10610.349609,10610.349609,2920800
2017-09-13,10596.360352,10620.309570,10532.879883,10532.879883,10532.879883,2711500
2017-09-14,10533.990234,10572.709961,10508.719727,10553.570313,10553.570313,2491800
2017-09-15,10556.820313,10580.780273,10520.150391,10580.410156,10580.410156,3365900
2017-09-18,10590.799805,10642.400391,10581.809570,10631.570313,10631.570313,3575300
2017-09-19,10653.339844,10664.179688,10561.209961,10576.139648,10576.139648,3071500
2017-09-20,10568.580078,10589.190430,10490.709961,10519.169922,10519.169922,2745000
2017-09-21,10506.849609,10603.080078,10493.950195,10578.440430,10578.440430,2312400
2017-09-22,10571.650391,10579.019531,10446.450195,10449.679688,10449.679688,2427200
2017-09-25,10442.049805,10447.089844,10322.099609,10335.889648,10335.889648,2622600
2017-09-26,10333.440430,10374.540039,10257.019531,10257.019531,10257.019531,2348600
2017-09-27,10322.440430,10357.230469,10315.969727,10326.679688,10326.679688,1954500
2017-09-28,10351.419922,10365.589844,10288.240234,10296.450195,10296.450195,2054900
2017-09-29,10319.690430,10338.950195,10273.599609,10329.940430,10329.940430,1942400
2017-10-02,10425.099609,10472.809570,10414.530273,10465.160156,10465.160156,1730200
2017-10-03,10462.700195,10495.339844,10445.860352,10469.349609,10469.349609,1916100
2017-10-05,10473.280273,10530.929688,10473.280273,10518.269531,10518.269531,1905900
2017-10-06,10538.209961,10557.669922,10511.500000,10532.809570,10532.809570,1950000
2017-10-11,10576.120117,10668.490234,10576.120117,10641.190430,10641.190430,2859400
2017-10-12,10668.389648,10711.440430,10668.389648,10711.440430,10711.440430,2367700
2017-10-13,10712.480469,10724.089844,10675.830078,10724.089844,10724.089844,2301200
2017-10-16,10735.139648,10774.209961,10723.370117,10774.209961,10774.209961,2451900
2017-10-17,10790.349609,10798.519531,10723.150391,10723.150391,10723.150391,2368600
2017-10-18,10773.849609,10790.309570,10684.320313,10720.280273,10720.280273,2651200
2017-10-19,10745.769531,10798.540039,10745.769531,10760.290039,10760.290039,2173500
2017-10-20,10737.870117,10753.769531,10702.559570,10728.879883,10728.879883,2314000
2017-10-23,10759.469727,10792.269531,10731.900391,10735.209961,10735.209961,2041300
2017-10-24,10749.900391,10766.639648,10726.250000,10743.780273,10743.780273,2253000
2017-10-25,10771.400391,10794.549805,10740.070313,10750.570313,10750.570313,2517700
2017-10-26,10735.349609,10756.509766,10716.519531,10734.759766,10734.759766,2228900
2017-10-27,10757.349609,10803.599609,10701.080078,10709.110352,10709.110352,3016300
2017-10-30,10777.599609,10842.250000,10743.129883,10756.870117,10756.870117,2240000
2017-10-31,10768.900391,10829.330078,10747.370117,10793.799805,10793.799805,2185500
2017-11-01,10816.040039,10843.410156,10785.320313,10806.360352,10806.360352,2414200
2017-11-02,10797.629883,10827.669922,10788.509766,10788.509766,10788.509766,2534500
2017-11-03,10797.910156,10835.700195,10765.309570,10800.769531,10800.769531,2213600
2017-11-06,10856.559570,10858.500000,10769.190430,10786.190430,10786.190430,2241200
2017-11-07,10820.830078,10842.610352,10807.889648,10840.339844,10840.339844,2593500
2017-11-08,10839.440430,10844.740234,10806.009766,10818.990234,10818.990234,2513400
2017-11-09,10802.950195,10831.379883,10721.870117,10743.269531,10743.269531,3008000
2017-11-10,10713.669922,10742.610352,10659.290039,10732.669922,10732.669922,2347400
